Date,Visitor,VG,Home,HG
4/1/23,Los Angeles Kings,,Seattle Kraken,
4/1/23,New York Islanders,,Tampa Bay Lightning,
4/1/23,Minnesota Wild,,Vegas Golden Knights,
4/2/23,New York Islanders,,Carolina Hurricanes,
4/2/23,Ottawa Senators,,Columbus Blue Jackets,
4/2/23,Anaheim Ducks,,Calgary Flames,
4/2/23,Philadelphia Flyers,,Pittsburgh Penguins,
4/2/23,Boston Bruins,,St. Louis Blues,
4/2/23,Detroit Red Wings,,Toronto Maple Leafs,
4/2/23,Los Angeles Kings,,Vancouver Canucks,
4/2/23,New Jersey Devils,,Winnipeg Jets,
4/2/23,New York Rangers,,Washington Capitals,
4/3/23,Nashville Predators,,Dallas Stars,
4/3/23,Vegas Golden Knights,,Minnesota Wild,
4/3/23,Arizona Coyotes,,Seattle Kraken,
4/4/23,Ottawa Senators,,Carolina Hurricanes,
4/4/23,Chicago Blackhawks,,Calgary Flames,
4/4/23,Buffalo Sabres,,Florida Panthers,
4/4/23,Edmonton Oilers,,Los Angeles Kings,
4/4/23,Detroit Red Wings,,Montreal Canadiens,
4/4/23,Pittsburgh Penguins,,New Jersey Devils,
4/4/23,Vegas Golden Knights,,Nashville Predators,
4/4/23,Colorado Avalanche,,San Jose Sharks,
4/4/23,Philadelphia Flyers,,St. Louis Blues,
4/4/23,Columbus Blue Jackets,,Toronto Maple Leafs,
4/4/23,Seattle Kraken,,Vancouver Canucks,
4/5/23,Edmonton Oilers,,Anaheim Ducks,
4/5/23,Tampa Bay Lightning,,New York Rangers,
4/5/23,Calgary Flames,,Winnipeg Jets,
4/6/23,Toronto Maple Leafs,,Boston Bruins,
4/6/23,Philadelphia Flyers,,Dallas Stars,
4/6/23,Buffalo Sabres,,Detroit Red Wings,
4/6/23,Ottawa Senators,,Florida Panthers,
4/6/23,Washington Capitals,,Montreal Canadiens,
4/6/23,Columbus Blue Jackets,,New Jersey Devils,
4/6/23,Carolina Hurricanes,,Nashville Predators,
4/6/23,Tampa Bay Lightning,,New York Islanders,
4/6/23,Minnesota Wild,,Pittsburgh Penguins,
4/6/23,Arizona Coyotes,,Seattle Kraken,
4/6/23,Colorado Avalanche,,San Jose Sharks,
4/6/23,New York Rangers,,St. Louis Blues,
4/6/23,Chicago Blackhawks,,Vancouver Canucks,
4/6/23,Los Angeles Kings,,Vegas Golden Knights,
4/8/23,Anaheim Ducks,,Arizona Coyotes,
4/8/23,New Jersey Devils,,Boston Bruins,
4/8/23,Carolina Hurricanes,,Buffalo Sabres,
4/8/23,New York Rangers,,Columbus Blue Jackets,
4/8/23,Vegas Golden Knights,,Dallas Stars,
4/8/23,Pittsburgh Penguins,,Detroit Red Wings,
4/8/23,Colorado Avalanche,,Los Angeles Kings,
4/8/23,St. Louis Blues,,Minnesota Wild,
4/8/23,Philadelphia Flyers,,New York Islanders,
4/8/23,Tampa Bay Lightning,,Ottawa Senators,
4/8/23,Chicago Blackhawks,,Seattle Kraken,
4/8/23,Edmonton Oilers,,San Jose Sharks,
4/8/23,Montreal Canadiens,,Toronto Maple Leafs,
4/8/23,Calgary Flames,,Vancouver Canucks,
4/8/23,Nashville Predators,,Winnipeg Jets,
4/8/23,Florida Panthers,,Washington Capitals,
4/9/23,Colorado Avalanche,,Anaheim Ducks,
4/9/23,Boston Bruins,,Philadelphia Flyers,
4/10/23,Seattle Kraken,,Arizona Coyotes,
4/10/23,Nashville Predators,,Calgary Flames,
4/10/23,Minnesota Wild,,Chicago Blackhawks,
4/10/23,Dallas Stars,,Detroit Red Wings,
4/10/23,Toronto Maple Leafs,,Florida Panthers,
4/10/23,Vancouver Canucks,,Los Angeles Kings,
4/10/23,Buffalo Sabres,,New York Rangers,
4/10/23,Carolina Hurricanes,,Ottawa Senators,
4/10/23,San Jose Sharks,,Winnipeg Jets,
4/10/23,New York Islanders,,Washington Capitals,
4/11/23,Vancouver Canucks,,Anaheim Ducks,
4/11/23,Washington Capitals,,Boston Bruins,
4/11/23,Detroit Red Wings,,Carolina Hurricanes,
4/11/23,Edmonton Oilers,,Colorado Avalanche,
4/11/23,Winnipeg Jets,,Minnesota Wild,
4/11/23,Buffalo Sabres,,New Jersey Devils,
4/11/23,Columbus Blue Jackets,,Philadelphia Flyers,
4/11/23,Chicago Blackhawks,,Pittsburgh Penguins,
4/11/23,Toronto Maple Leafs,,Tampa Bay Lightning,
4/11/23,Seattle Kraken,,Vegas Golden Knights,
4/12/23,San Jose Sharks,,Calgary Flames,
4/12/23,Montreal Canadiens,,New York Islanders,
4/12/23,Dallas Stars,,St. Louis Blues,
4/13/23,Los Angeles Kings,,Anaheim Ducks,
4/13/23,Vancouver Canucks,,Arizona Coyotes,
4/13/23,Ottawa Senators,,Buffalo Sabres,
4/13/23,Pittsburgh Penguins,,Columbus Blue Jackets,
4/13/23,Philadelphia Flyers,,Chicago Blackhawks,
4/13/23,Winnipeg Jets,,Colorado Avalanche,
4/13/23,St. Louis Blues,,Dallas Stars,
4/13/23,San Jose Sharks,,Edmonton Oilers,
4/13/23,Carolina Hurricanes,,Florida Panthers,
4/13/23,Boston Bruins,,Montreal Canadiens,
4/13/23,Minnesota Wild,,Nashville Predators,
4/13/23,Toronto Maple Leafs,,New York Rangers,
4/13/23,Vegas Golden Knights,,Seattle Kraken,
4/13/23,Detroit Red Wings,,Tampa Bay Lightning,
4/13/23,New Jersey Devils,,Washington Capitals,
4/14/23,Buffalo Sabres,,Columbus Blue Jackets,
4/14/23,Colorado Avalanche,,Nashville Predators,
